title,author,rating,ratings,score,link,author link
A Long Way Gone: Memoirs of a Boy Soldier,Ishmael Beah, 4.14,179.292,223,https://www.goodreads.com/book/show/43015.A_Long_Way_Gone,https://www.goodreads.com/author/show/24189.Ishmael_Beah
Long Walk to Freedom,Nelson Mandela, 4.32,79.609,221,https://www.goodreads.com/book/show/318431.Long_Walk_to_Freedom,https://www.goodreads.com/author/show/367338.Nelson_Mandela
"Girl, Interrupted",Susanna Kaysen, 3.92,207.977,221,https://www.goodreads.com/book/show/68783.Girl_Interrupted,https://www.goodreads.com/author/show/4376.Susanna_Kaysen
The Bell Jar,Sylvia Plath, 4.04,743.254,219,https://www.goodreads.com/book/show/6514.The_Bell_Jar,https://www.goodreads.com/author/show/4379.Sylvia_Plath
Orange Is the New Black,Piper Kerman (Goodreads Author), 3.71,193.598,217,https://www.goodreads.com/book/show/6314763-orange-is-the-new-black,https://www.goodreads.com/author/show/2867696.Piper_Kerman
Open,Andre Agassi, 4.27,101.886,208,https://www.goodreads.com/book/show/6480781-open,https://www.goodreads.com/author/show/54066.Andre_Agassi
Into Thin Air: A Personal Account of the Mount Everest Disaster,Jon Krakauer (Goodreads Author), 4.21,451.786,208,https://www.goodreads.com/book/show/1898.Into_Thin_Air,https://www.goodreads.com/author/show/1235.Jon_Krakauer
The Audacity of Hope: Thoughts on Reclaiming the American Dream,Barack Obama (Goodreads Author), 3.80,158.669,206,https://www.goodreads.com/book/show/9742.The_Audacity_of_Hope,https://www.goodreads.com/author/show/6356.Barack_Obama
The Year of Magical Thinking,Joan Didion, 3.91,189.173,204,https://www.goodreads.com/book/show/7815.The_Year_of_Magical_Thinking,https://www.goodreads.com/author/show/238.Joan_Didion
Walden,Henry David Thoreau, 3.78,176.219,201,https://www.goodreads.com/book/show/16902.Walden,https://www.goodreads.com/author/show/10264.Henry_David_Thoreau
Twelve Years a Slave,Solomon Northup, 4.20,109.067,200,https://www.goodreads.com/book/show/18478222-twelve-years-a-slave,https://www.goodreads.com/author/show/96426.Solomon_Northup
Marley and Me: Life and Love With the World's Worst Dog,John Grogan, 4.13,460.771,200,https://www.goodreads.com/book/show/12691.Marley_and_Me,https://www.goodreads.com/author/show/8002.John_Grogan
I Am Malala: The Story of the Girl Who Stood Up for Education and Was Shot by the Taliban,Malala Yousafzai, 4.14,513.084,196,https://www.goodreads.com/book/show/17851885-i-am-malala,https://www.goodreads.com/author/show/7064545.Malala_Yousafzai
Narrative of the Life of Frederick Douglass,Frederick Douglass, 4.08,111.376,195,https://www.goodreads.com/book/show/36529.Narrative_of_the_Life_of_Frederick_Douglass,https://www.goodreads.com/author/show/18943.Frederick_Douglass
The Lost Boy (Dave Pelzer #2),Dave Pelzer (Goodreads Author), 4.09,63.05,192,https://www.goodreads.com/book/show/2743.The_Lost_Boy,https://www.goodreads.com/author/show/1881.Dave_Pelzer
Let's Pretend This Never Happened: A Mostly True Memoir,Jenny Lawson (Goodreads Author), 3.89,183.936,192,https://www.goodreads.com/book/show/12868761-let-s-pretend-this-never-happened,https://www.goodreads.com/author/show/5272674.Jenny_Lawson
Wild Swans: Three Daughters of China,Jung Chang, 4.26,104.713,188,https://www.goodreads.com/book/show/1848.Wild_Swans,https://www.goodreads.com/author/show/1237.Jung_Chang
American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History,Chris Kyle, 4.01,122.977,183,https://www.goodreads.com/book/show/11887020-american-sniper,https://www.goodreads.com/author/show/2728589.Chris_Kyle
"All Creatures Great and Small (All Creatures Great and Small, #1-2)",James Herriot, 4.32,135.27,183,https://www.goodreads.com/book/show/32085.All_Creatures_Great_and_Small,https://www.goodreads.com/author/show/18062.James_Herriot
Stories I Only Tell My Friends,Rob Lowe, 3.83,72.231,182,https://www.goodreads.com/book/show/10211494-stories-i-only-tell-my-friends,https://www.goodreads.com/author/show/438483.Rob_Lowe
The Autobiography of Benjamin Franklin,Benjamin Franklin, 3.85,78.721,180,https://www.goodreads.com/book/show/52309.The_Autobiography_of_Benjamin_Franklin,https://www.goodreads.com/author/show/289513.Benjamin_Franklin
A Heartbreaking Work of Staggering Genius,Dave Eggers, 3.68,178.007,179,https://www.goodreads.com/book/show/4953.A_Heartbreaking_Work_of_Staggering_Genius,https://www.goodreads.com/author/show/3371.Dave_Eggers
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",Allie Brosh (Goodreads Author), 4.15,197.501,170,https://www.goodreads.com/book/show/17571564-hyperbole-and-a-half,https://www.goodreads.com/author/show/6984726.Allie_Brosh
What I Talk About When I Talk About Running,Haruki Murakami, 3.87,137.687,170,https://www.goodreads.com/book/show/2195464.What_I_Talk_About_When_I_Talk_About_Running,https://www.goodreads.com/author/show/3354.Haruki_Murakami
Tuesdays with Morrie,Mitch Albom (Goodreads Author), 4.14,900.061,170,https://www.goodreads.com/book/show/6900.Tuesdays_with_Morrie,https://www.goodreads.com/author/show/2331.Mitch_Albom
